YEAR,QUARTER,APOLLOHOSP_PRICE,AUROPHARMA_PRICE,CIPLA_PRICE,DRREDDY_PRICE,LUPIN_PRICE,SUNPHARMA_PRICE,APOLLOHOSP_VOL,AUROPHARMA_VOL,CIPLA_VOL,DRREDDY_VOL,LUPIN_VOL,SUNPHARMA_VOL
1996,1,,,7.595003128051758,10.338341580904448,,1.4679723409505991,,,25531875.0,4472000.0,,24412827.0
1996,2,,,8.888048201340895,12.379624176025391,,1.6362288640095637,,,8375625.0,8616000.0,,22127751.0
1996,3,,,9.151151830499822,11.928771394671816,,1.5693288897023057,,,43931250.0,18528000.0,,18061097.0
1996,4,,,9.317118081179531,8.47301814772866,,1.2810853918393452,,,15180000.0,13804000.0,,36083490.0
1997,1,,,12.135285750031471,8.154551915824413,,1.5005096439272165,,,21153750.0,63820000.0,,23664050.0
1997,2,,,14.833761273897611,9.559868827232947,,1.542038917541504,,,22190625.0,66626000.0,,13142383.0
1997,3,,,16.42794961640329,12.576696381424412,,1.7573652520324246,,,24221250.0,104694000.0,,53460371.0
1997,4,,,14.229598435488613,13.45160081169822,,1.6351050156535525,,,7899375.0,86400000.0,,25781291.0
1998,1,,,13.245245322585106,15.089911982417107,,1.4223540239036083,,,10198125.0,66908000.0,,31926458.0
1998,2,,,16.93386774796706,18.769679641723634,,1.825647889650785,,,26056875.0,109746000.0,,165583886.0
1998,3,,,18.09475579406276,20.39735730489095,,2.0024139790823967,,,25884375.0,545702000.0,,90847779.0
1998,4,,,19.29361594807018,19.641401666583437,,1.9625030882430798,,,20823750.0,390902000.0,,70695245.0
1999,1,,,25.594185262918472,27.51227381825447,,2.0556994043290615,,,31263187.0,246178760.0,,294051496.0
1999,2,,,30.825136771568886,35.60757185129019,,2.971514734855065,,,15643786.0,120637320.0,,249369915.0
1999,3,,,56.67203611316103,46.80436538927483,,4.395175702644117,,,43877876.0,124164080.0,,328818173.0
1999,4,,,95.02917168357156,54.9121980378122,,9.023046060041947,,,59200961.0,92838400.0,,227917726.0
2000,1,,,76.9966793353741,63.98139243492713,,13.179835466238169,,,39384872.0,91416880.0,,215527802.0
2000,2,,,59.90619612473708,57.592760467529295,,9.264609351524939,,,41720647.0,92228320.0,,101941533.0
2000,3,,,51.50244263869065,53.574094977745645,,10.793140484736515,,,65342233.0,117391000.0,,141234425.0
2000,4,,,62.15769377488356,58.77976273756761,,9.818801403045654,,,131006059.0,167713240.0,,158212395.0
2001,1,,,71.46516142625075,55.99521431556115,,10.780390416658841,,,93929709.0,108191240.0,,92817593.0
2001,2,,,72.06760341937725,54.59326130793645,,10.939228263268104,,,54715808.0,130048360.0,,55075792.0
2001,3,,,76.10993147629958,74.87154106727013,5.6723529179890955,10.598086195725662,,,83850357.0,293714900.0,1248480.0,59803229.0
2001,4,,,74.21434610540217,86.46020750565962,6.929959065986402,10.98373676068855,,,76632335.0,317320290.0,39898520.0,54547260.0
2002,1,,,72.38118171691895,85.98304188251495,9.065644718706608,12.258729562163353,,,39488370.0,117937680.0,147724280.0,53761079.0
2002,2,,,68.17484547541692,86.27329535851112,10.396787980886605,11.851455307006836,,,34237305.0,61283120.0,102329060.0,31960055.0
2002,3,44.80318803498239,,63.22848655238296,76.60371121493253,9.035105163400823,10.959007451028535,17432134.0,,24769333.0,77436640.0,36385080.0,18120170.0
2002,4,43.19930463848692,,60.358693556352094,66.7594318967877,8.96169502807386,10.988120368032744,10555046.0,,30118437.0,150996330.0,70868140.0,34323327.0
2003,1,43.79137349128723,9.963403791189194,54.77595537900925,78.29216742515564,12.577514588832855,11.151641055941582,15543362.0,45627860.0,34731333.0,86739470.0,231164750.0,33225905.0
2003,2,45.02380192279816,11.638442795093242,46.45486358495859,78.74055111408234,15.341134548187256,11.771514217670147,17469362.0,71109820.0,53858224.0,83825060.0,314446280.0,38028646.0
2003,3,64.22497512354995,19.332541061170172,60.540916963057086,95.82648664532286,34.34589125893333,16.960290258580986,25837280.0,350146080.0,125880149.0,157873260.0,631144300.0,90119371.0
